group,key,label,n,mean_rmsd,median_rmsd,p95_rmsd,paired_pc10_mean,paired_pc10_median,true_target_rank_mean,true_target_rank_median,top1_rate,top5_rate,top10_rate,top20_rate,top50_rate,top100_rate
exp50k_direct,mean_target_baseline,Mean target baseline,9722,4.898209095001221,4.630704402923584,8.315906524658203,3.018064022064209,2.8960139751434326,,,,,,,,
exp50k_direct,random_target_baseline,Random target baseline,9722,6.944602012634277,6.578358173370361,11.733787536621094,4.302769184112549,4.184762477874756,,,,,,,,
exp50k_direct,plain_512d,Direct image 512D,9722,4.523791313171387,4.240999221801758,7.753331661224365,3.001952648162842,2.8911471366882324,4252.115614071179,3968.0,0.00010285949393128986,0.0009257354453816088,0.002262908866488377,0.004731536720839333,0.011623122814235753,0.02005760131660152
exp50k_direct,unweighted_ft1_512d,512D + one-epoch fine-tune,9722,4.4748406410217285,4.188173294067383,7.733354568481445,2.93048095703125,2.7927417755126953,4230.381608722485,3899.0,0.0,0.0008228759514503189,0.0019543303846945074,0.004320098745114174,0.011725982308167043,0.02118905574984571
exp50k_direct,confweight_512d,512D + confidence weighting,9722,4.472379684448242,4.180997848510742,7.719135761260986,2.9295876026153564,2.7910075187683105,4258.532297881095,3941.0,0.0002057189878625797,0.000720016457519029,0.002262908866488377,0.004422958239045464,0.010903106356716725,0.02057189878625797
exp50k_direct,confshuffle_ft1_512d,512D + shuffled confidence,9722,4.474904537200928,4.184130668640137,7.733654022216797,2.9312031269073486,2.792053699493408,4233.524377700061,3903.0,0.0,0.0006171569635877391,0.0017486113968319275,0.004525817732976754,0.011828841802098334,0.021291915243777
exp50k_direct,pcascore002_512d,512D + PCA-score,9722,4.509390354156494,4.217261791229248,7.718343734741211,2.976283550262451,2.854127883911133,4275.06017280395,3979.0,0.0002057189878625797,0.000720016457519029,0.0018514708907632176,0.004422958239045464,0.010903106356716725,0.018926146883357333
exp50k_direct,pcalocal002_512d,512D + PCA-local,9722,4.521661281585693,4.222917556762695,7.8452959060668945,3.093611478805542,2.9733002185821533,4191.3084756223,3899.0,0.00030857848179386956,0.0012343139271754782,0.0016457519029006377,0.004217239251182884,0.011108825344579305,0.02273194815881506
exp50k_direct,bottleneck256,Direct image 256D,9722,4.903187274932861,4.634472370147705,8.336302757263184,3.0200278759002686,2.893307685852051,4861.570355893849,4861.0,0.0002057189878625797,0.0006171569635877391,0.0010285949393128986,0.0018514708907632176,0.004937255708701913,0.010285949393128985
exp100k_mixed,mean_target_baseline,Mean target baseline,19750,4.876489162445068,4.628444194793701,8.337574005126953,3.0250487327575684,2.894535779953003,,,,,,,,
exp100k_mixed,random_target_baseline,Random target baseline,19750,6.915938854217529,6.5648088455200195,11.634014129638672,4.305904388427734,4.1922607421875,,,,,,,,
exp100k_mixed,staged100k_progressive,Staged latent-to-U-Net mixed100k,19750,4.425195217132568,4.139577865600586,7.697333335876465,2.8970961570739746,2.765394687652588,8249.783949367089,7520.0,0.00040506329113924053,0.0011139240506329114,0.0014177215189873419,0.0033417721518987343,0.006886075949367089,0.011544303797468354
exp100k_mixed,direct100k_from50k,Direct image 512D mixed100k,19750,4.3579421043396,4.089977264404297,7.533943176269531,2.9168334007263184,2.7864885330200195,8459.787139240507,7888.0,0.00010126582278481013,0.0005569620253164557,0.0011645569620253164,0.0027341772151898733,0.006126582278481013,0.011037974683544304
exp100k_mixed,direct100k_rawonly_from50k,Direct image 512D raw-only trained,19750,4.366550445556641,4.0965046882629395,7.535667419433594,2.9203298091888428,2.7943925857543945,8415.049974683545,7818.0,5.0632911392405066e-05,0.0008101265822784811,0.0011645569620253164,0.002531645569620253,0.006582278481012658,0.011848101265822785
