record_type,analysis,replicate,metric,estimate,ci95_low,ci95_high,units,n_physical_particles,seed,repetitions,notes
summary,test_target_mean,,mean,4.876488792165925,4.838458776473999,4.9149393200874325,angstrom,9875,20260717,5000,Transductive test-target population-centre diagnostic
summary,test_target_mean,,median,4.628443241119385,4.580565452575684,4.6765875816345215,angstrom,9875,20260717,5000,Transductive test-target population-centre diagnostic
summary,test_target_mean,,p95,8.336920356750486,8.230652809143066,8.470244407653809,angstrom,9875,20260717,5000,Transductive test-target population-centre diagnostic
summary,training_target_mean,,mean,4.876364493677888,4.838344371318817,4.914726436138153,angstrom,9875,20260717,5000,Held-out predictive baseline fixed from training targets
summary,training_target_mean,,median,4.629314422607422,4.582632541656494,4.676458358764648,angstrom,9875,20260717,5000,Held-out predictive baseline fixed from training targets
summary,training_target_mean,,p95,8.337563419342041,8.22590446472168,8.472211837768555,angstrom,9875,20260717,5000,Held-out predictive baseline fixed from training targets
summary,raw_direct_model,,mean,4.308765648491775,4.275812876224518,4.342331206798553,angstrom,9875,20260717,5000,Retained raw-particle direct 512D model
summary,raw_direct_model,,median,4.048515796661377,4.013321876525879,4.085949897766113,angstrom,9875,20260717,5000,Retained raw-particle direct 512D model
summary,raw_direct_model,,p95,7.424122762680052,7.34484338760376,7.540897369384766,angstrom,9875,20260717,5000,Retained raw-particle direct 512D model
summary,raw_direct_model_vs_training_target_mean,,fraction_model_rmsd_lower,0.669367088607595,0.6601518987341772,0.6784810126582278,fraction,9875,20260717,5000,Paired physical-particle comparison; strict model RMSD < training-mean RMSD.
summary,raw_direct_model_vs_training_target_mean,,mean_rmsd_gain_training_mean_minus_model,0.567598819732666,0.5427823573350906,0.5930296227335929,angstrom,9875,20260717,5000,Positive values favour the retained raw-direct model.
summary,random_target_derangement_distribution,,mean,6.917631334286884,,,angstrom,9875,20260718,1000,Distribution of mean RMSD across uniform random permutations accepted only when no fixed points were present; not a trained predictor.
summary,random_target_derangement_distribution,,std,0.017566554928527565,,,angstrom,9875,20260718,1000,Distribution of mean RMSD across uniform random permutations accepted only when no fixed points were present; not a trained predictor.
summary,random_target_derangement_distribution,,median,6.917857229993314,,,angstrom,9875,20260718,1000,Distribution of mean RMSD across uniform random permutations accepted only when no fixed points were present; not a trained predictor.
summary,random_target_derangement_distribution,,p2_5,6.884421954404554,,,angstrom,9875,20260718,1000,Distribution of mean RMSD across uniform random permutations accepted only when no fixed points were present; not a trained predictor.
summary,random_target_derangement_distribution,,p97_5,6.950714607538453,,,angstrom,9875,20260718,1000,Distribution of mean RMSD across uniform random permutations accepted only when no fixed points were present; not a trained predictor.
permutation_sample,random_target_derangement_distribution,1,mean_rmsd,6.9228770663225205,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,2,mean_rmsd,6.944793891158286,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,3,mean_rmsd,6.898360966175418,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,4,mean_rmsd,6.931045754010165,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,5,mean_rmsd,6.905513994035842,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,6,mean_rmsd,6.918768494931958,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,7,mean_rmsd,6.928633527417727,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,8,mean_rmsd,6.931743047026139,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,9,mean_rmsd,6.922997788344758,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,10,mean_rmsd,6.917548905553698,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,11,mean_rmsd,6.915085737868201,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,12,mean_rmsd,6.9096497306340865,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,13,mean_rmsd,6.907217573890204,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,14,mean_rmsd,6.918324217035801,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,15,mean_rmsd,6.921849354128295,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,16,mean_rmsd,6.935868785351138,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,17,mean_rmsd,6.906436763860003,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,18,mean_rmsd,6.897490437073044,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,19,mean_rmsd,6.931916899379296,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,20,mean_rmsd,6.9146363282626195,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,21,mean_rmsd,6.932265948464599,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,22,mean_rmsd,6.913078070097332,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,23,mean_rmsd,6.956202903892421,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,24,mean_rmsd,6.903305937163438,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,25,mean_rmsd,6.918065840153755,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,26,mean_rmsd,6.932339644733864,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,27,mean_rmsd,6.930395360210274,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
permutation_sample,random_target_derangement_distribution,28,mean_rmsd,6.931356141295614,,,angstrom,9875,20260718,1000,Accepted fixed-point-free permutation.
