system/regime,branch,key,n,mean_rmsd,median_rmsd,p95_rmsd,target_pc3_spread_ratio,paired_pc10_mean,paired_pc10_median,median_paired_target_rank,top10_rate,top100_rate,interpretation
experimental HER2 100k mixed-source,Mean target baseline,mean_target_baseline,19750,4.8765,4.6284,8.3376,,3.0250,2.8945,,,,"Trivial coordinate baseline; useful RMSD reference, not an assignment model."
experimental HER2 100k mixed-source,Random target baseline,random_target_baseline,19750,6.9159,6.5648,11.6340,,4.3059,4.1923,,,,Random target baseline; confirms learned branches are not arbitrary target draws.
experimental HER2 100k mixed-source,Staged latent-to-U-Net mixed100k,staged100k_progressive,19750,4.4252,4.1396,7.6973,0.4402,2.8971,2.7654,7520,0.142%,1.154%,Retained staged mixed-source baseline; useful but weaker than raw direct by RMSD.
experimental HER2 100k mixed-source,Direct image 512D mixed100k,direct100k_from50k,19750,4.3579,4.0900,7.5339,0.4497,2.9168,2.7865,7888,0.116%,1.104%,Mixed-source direct branch; improves RMSD over staged but does not improve assignment enough.
experimental HER2 100k raw-particle,Mean target baseline,mean_target_baseline,9875,4.8765,4.6284,8.3369,,3.0250,2.8945,,,,"Trivial coordinate baseline; useful RMSD reference, not an assignment model."
experimental HER2 100k raw-particle,Random target baseline,random_target_baseline,9875,6.9359,6.5910,11.7529,,4.3087,4.1728,,,,Random target baseline; confirms learned branches are not arbitrary target draws.
experimental HER2 100k raw-particle,"Raw-particle direct image, 512-dimensional",direct100k_raw_uncentered_from50k,9875,4.3088,4.0485,7.4241,0.4818,2.9088,2.7860,3826,0.273%,2.329%,Retained strongest raw-particle direct RMSD baseline; assignment remains weak.
experimental HER2 100k raw-particle,Raw-particle 1024-dimensional capacity control,direct100k_raw_bottleneck1024_from_rawbest,9875,4.3084,4.0315,7.4232,0.5172,2.9146,2.7891,3801,0.273%,2.420%,"Capacity control; median rank/top100 move slightly, but RMSD/PC10 do not justify promotion."
experimental HER2 100k raw-particle,Raw-particle 512-dimensional + confidence weighting,direct100k_raw_confweight_from_rawbest,9875,4.3147,4.0559,7.4526,0.4636,2.9114,2.7872,3938,0.273%,2.197%,Raw confidence fine-tune; does not beat retained raw baseline.
experimental HER2 100k raw-particle,Raw-particle 512-dimensional + unweighted fine-tune,direct100k_raw_unweighted_from_rawbest,9875,4.3168,4.0537,7.4540,0.4800,2.9096,2.7865,3849,0.284%,2.390%,Raw unweighted fine-tune control; no meaningful promotion over baseline.
experimental HER2 100k raw-particle,Raw-particle 512-dimensional + PCA-rank objective,direct100k_raw_pcarank005_rankonly_from_rawbest,9875,4.3239,4.0595,7.4314,,2.9584,2.8425,3737,0.284%,2.542%,Rank objective improves rank/top100 slightly but worsens RMSD and PC10.
experimental HER2 100k raw-particle,Raw-particle 512-dimensional initialized from teacher-reconstructed pretraining,direct100k_raw_from_teacheronly100k,9875,4.3053,4.0502,7.4366,,2.9062,2.7770,3889,0.304%,2.299%,"Teacher-pretrained raw fine-tune; weak mixed result, not clean assignment improvement."
